event_id,customer_id,event_type,amount,decline_code,timestamp,day_of_month,customer_tenure_days,customer_past_success_rate,customer_prior_failures_30d,is_first_time_customer,ground_truth_recovery_prob,ground_truth_recoverable,ground_truth_best_action
evt_a4820ca297,cust_0028,subscription_renewal_failure,2426.77,bank_technical_decline,2026-08-09T02:00:00,9,145,0.44,2,False,0.7198,False,retry_immediate
evt_4da98989bb,cust_0007,payment_failure,587.32,bank_technical_decline,2026-08-29T17:00:00,29,124,0.53,1,False,0.6533,True,retry_immediate
evt_07b3231c32,cust_0107,subscription_renewal_failure,956.82,insufficient_funds,2026-07-25T10:00:00,25,1236,0.82,1,False,0.4991,True,retry_delayed
evt_b98d1648bf,cust_0086,subscription_renewal_failure,298.6,do_not_honor,2026-07-29T17:00:00,29,199,0.38,3,False,0.02,False,escalate_alternate_payment
evt_ef0caf8a39,cust_0096,payment_failure,1651.54,bank_technical_decline,2026-06-06T21:00:00,6,155,0.64,3,False,0.5318,True,retry_immediate
evt_b98ae15468,cust_0058,payment_failure,1083.88,card_expired,2026-07-17T05:00:00,17,193,0.96,1,False,0.1001,False,request_card_update
evt_a779e04f56,cust_0094,subscription_renewal_failure,478.13,bank_technical_decline,2026-06-22T17:00:00,22,1402,0.81,1,False,0.7146,True,retry_immediate
evt_1c83aa82ff,cust_0097,payment_failure,1386.86,issuer_unavailable,2026-06-08T07:00:00,8,1340,0.92,0,False,0.6586,True,retry_immediate
evt_c4f7692775,cust_0008,subscription_renewal_failure,1453.7,do_not_honor,2026-07-11T06:00:00,11,851,0.81,0,False,0.1455,False,escalate_alternate_payment
evt_62b9225fec,cust_0117,subscription_renewal_failure,960.01,card_expired,2026-08-14T12:00:00,14,76,0.44,3,False,0.02,False,request_card_update
evt_1f8e0c3f2f,cust_0035,payment_failure,706.82,insufficient_funds,2026-08-27T13:00:00,27,216,0.93,1,False,0.5495,False,retry_delayed
evt_63dcd6a293,cust_0016,subscription_renewal_failure,294.24,do_not_honor,2026-06-02T21:00:00,2,1250,0.99,0,False,0.2073,True,escalate_alternate_payment
evt_7ba36c89c9,cust_0068,payment_failure,418.26,limit_exceeded,2026-07-04T16:00:00,4,726,0.78,0,False,0.554,False,retry_delayed
evt_e9072a6e73,cust_0045,subscription_renewal_failure,487.51,bank_technical_decline,2026-06-20T11:00:00,20,247,0.96,0,False,0.8325,True,retry_immediate
evt_0b6effdc8d,cust_0000,subscription_renewal_failure,287.65,do_not_honor,2026-07-10T07:00:00,10,1030,0.75,1,False,0.1192,True,escalate_alternate_payment
evt_9874e352cf,cust_0020,payment_failure,256.74,card_expired,2026-08-10T05:00:00,10,253,0.64,2,False,0.0606,False,request_card_update
evt_11ce23b6f1,cust_0067,payment_failure,944.27,issuer_unavailable,2026-06-26T22:00:00,26,1272,0.85,0,False,0.7625,True,retry_immediate
evt_b1eb0dc9b1,cust_0079,payment_failure,150.0,insufficient_funds,2026-06-29T02:00:00,29,1405,0.91,0,False,0.7181,False,retry_delayed
evt_8686a11bf4,cust_0086,payment_failure,1470.83,bank_technical_decline,2026-06-08T07:00:00,8,288,0.43,2,False,0.6331,True,retry_immediate
evt_d60c7db20f,cust_0017,payment_failure,507.25,invalid_cvv,2026-08-09T04:00:00,9,1790,0.83,0,False,0.3964,True,request_card_update
evt_5333209032,cust_0121,payment_failure,409.8,card_expired,2026-07-25T13:00:00,25,998,0.94,0,False,0.3206,True,request_card_update
evt_755b54bdf6,cust_0119,payment_failure,150.0,card_expired,2026-07-14T03:00:00,14,140,0.91,1,False,0.1516,False,request_card_update
evt_a1a86a5e62,cust_0063,payment_failure,1478.78,card_expired,2026-06-10T14:00:00,10,279,0.51,4,False,0.02,False,request_card_update
evt_991423c7e0,cust_0025,subscription_renewal_failure,1460.13,do_not_honor,2026-06-22T13:00:00,22,281,0.64,1,False,0.1014,False,escalate_alternate_payment
evt_7d4831ed33,cust_0102,payment_failure,432.14,issuer_unavailable,2026-07-29T09:00:00,29,367,0.84,1,False,0.6589,True,retry_immediate
evt_5551350614,cust_0108,subscription_renewal_failure,292.71,insufficient_funds,2026-07-08T06:00:00,8,1526,0.99,0,False,0.7158,True,retry_delayed
evt_187e27a221,cust_0015,subscription_renewal_failure,296.78,invalid_cvv,2026-06-08T16:00:00,8,147,0.76,0,False,0.2451,False,request_card_update
evt_c6691db5cb,cust_0017,subscription_renewal_failure,293.31,invalid_cvv,2026-08-14T19:00:00,14,1412,0.96,0,False,0.3377,False,request_card_update
evt_2831b3a606,cust_0107,payment_failure,621.28,bank_technical_decline,2026-07-01T08:00:00,1,1187,0.88,1,False,0.7417,False,retry_immediate
evt_4039b5659d,cust_0101,subscription_renewal_failure,2498.81,limit_exceeded,2026-06-02T14:00:00,2,335,0.45,3,False,0.3273,False,retry_delayed
evt_2532b9c967,cust_0025,subscription_renewal_failure,956.93,do_not_honor,2026-07-02T11:00:00,2,114,0.53,2,False,0.02,False,escalate_alternate_payment
evt_9efe47d3dd,cust_0077,subscription_renewal_failure,480.65,card_expired,2026-08-24T03:00:00,24,1682,0.91,0,False,0.3993,True,request_card_update
evt_fcad10b0fa,cust_0027,subscription_renewal_failure,2435.09,insufficient_funds,2026-08-21T08:00:00,21,348,0.82,0,False,0.5652,True,retry_delayed
evt_05eb8bcf86,cust_0013,payment_failure,508.21,issuer_unavailable,2026-08-21T08:00:00,21,221,0.64,1,False,0.7242,True,retry_immediate
evt_d572ebd22b,cust_0041,payment_failure,676.61,limit_exceeded,2026-08-28T04:00:00,28,1159,0.92,0,False,0.7487,True,retry_delayed
evt_ad2c3c670a,cust_0009,payment_failure,417.2,card_expired,2026-06-06T11:00:00,6,1222,0.88,0,False,0.2873,True,request_card_update
evt_3281273bda,cust_0053,subscription_renewal_failure,497.15,card_expired,2026-08-19T23:00:00,19,1395,0.77,0,False,0.3244,False,request_card_update
evt_b119b242c3,cust_0060,payment_failure,1044.51,issuer_unavailable,2026-07-13T13:00:00,13,1668,0.94,1,False,0.7395,False,retry_immediate
evt_8b614e3723,cust_0063,payment_failure,412.9,card_expired,2026-06-26T14:00:00,26,1642,0.92,0,False,0.3308,False,request_card_update
evt_d58bdadb2d,cust_0089,subscription_renewal_failure,966.59,card_expired,2026-07-06T02:00:00,6,1658,0.96,0,False,0.4323,False,request_card_update
evt_73eeae1d7e,cust_0130,payment_failure,778.99,fraud_suspected_by_issuer,2026-06-23T18:00:00,23,1757,0.88,1,False,0.02,False,escalate_alternate_payment
evt_4b728c6850,cust_0067,payment_failure,495.27,fraud_suspected_by_issuer,2026-06-15T12:00:00,15,310,0.5,3,False,0.02,False,escalate_alternate_payment
evt_8970f39d96,cust_0048,subscription_renewal_failure,970.59,bank_technical_decline,2026-08-25T06:00:00,25,1481,0.85,0,False,0.8325,True,retry_immediate
evt_5d55767137,cust_0084,payment_failure,150.0,card_expired,2026-07-23T10:00:00,23,1388,0.95,0,False,0.3207,True,request_card_update
evt_2b51052120,cust_0103,subscription_renewal_failure,2411.65,bank_technical_decline,2026-06-23T19:00:00,23,1165,0.78,0,False,0.8294,False,retry_immediate
evt_8183c701bd,cust_0000,subscription_renewal_failure,486.8,card_expired,2026-07-27T21:00:00,27,460,0.85,0,False,0.3019,False,request_card_update
evt_4b1508cf0b,cust_0043,payment_failure,3632.1,do_not_honor,2026-07-01T21:00:00,1,611,0.87,0,False,0.1605,False,escalate_alternate_payment
evt_353ea9c666,cust_0079,subscription_renewal_failure,1490.47,bank_technical_decline,2026-06-10T14:00:00,10,437,0.79,0,False,0.8489,True,retry_immediate
evt_6cbfddcac1,cust_0049,subscription_renewal_failure,478.44,insufficient_funds,2026-06-14T13:00:00,14,816,0.87,0,False,0.4846,True,retry_delayed
evt_d28b586b02,cust_0132,payment_failure,729.32,do_not_honor,2026-08-25T16:00:00,25,1171,0.81,0,False,0.124,False,escalate_alternate_payment
